Rk,Pos,Name,Age,W,L,W-Lpct,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERAplus,FIP,WHIP,H9,HR9,BB9,SO9,SO-W,Name-additional
1,SP,Tyler Anderson*,34,10,15,.400,3.81,31,31,0,0,0,0,179.1,158,83,76,24,73,2,142,7,1,3,765,110,4.66,1.288,7.9,1.2,3.7,7.1,1.95,anderty01
2,SP,Griffin Canning,28,6,13,.316,5.19,32,31,1,0,0,0,171.2,174,105,99,31,66,1,130,6,4,6,739,81,5.26,1.398,9.1,1.6,3.5,6.8,1.97,cannigr01
3,SP,José Soriano,25,6,7,.462,3.42,22,20,1,0,0,0,113.0,91,50,43,8,45,1,97,9,0,7,468,122,3.80,1.204,7.2,0.6,3.6,7.7,2.16,soriajo02
4,SP,Reid Detmers*,24,4,9,.308,6.70,17,17,0,0,0,0,87.1,98,67,65,18,38,0,109,2,0,4,391,63,4.72,1.557,10.1,1.9,3.9,11.2,2.87,detmere01
5,SP,Patrick Sandoval*,27,2,8,.200,5.08,16,16,0,0,0,0,79.2,85,49,45,8,35,2,81,3,2,6,353,83,3.87,1.506,9.6,0.9,4.0,9.2,2.31,sandopa02
6,SP,Jack Kochanowicz,23,2,6,.250,3.99,11,11,0,0,0,0,65.1,68,30,29,7,10,1,25,8,0,1,266,105,4.62,1.194,9.4,1.0,1.4,3.4,2.50,kochaja01
7,CL,Carlos Estévez,31,1,3,.250,2.38,34,0,29,0,0,20,34.0,20,10,9,3,5,2,32,0,0,1,124,177,2.87,0.735,5.3,0.8,1.3,8.5,6.40,estevca01
8,RP,Carson Fulmer,30,0,5,.000,4.15,37,8,16,0,0,0,86.2,81,45,40,11,40,4,81,5,2,5,379,101,4.51,1.396,8.4,1.1,4.2,8.4,2.03,fulmeca01
9,RP,Hunter Strickland,35,3,2,.600,3.31,72,0,10,0,0,1,73.1,56,31,27,10,24,1,57,2,0,1,294,127,4.45,1.091,6.9,1.2,2.9,7.0,2.38,strichu01
10,RP,Matt Moore*,35,5,3,.625,5.03,51,0,12,0,0,1,48.1,39,31,27,11,26,2,41,2,0,1,210,84,6.17,1.345,7.3,2.0,4.8,7.6,1.58,moorema02
11,RP,Luis García,37,5,1,.833,3.71,45,0,8,0,0,4,43.2,37,21,18,4,14,1,40,3,0,5,182,114,3.69,1.168,7.6,0.8,2.9,8.2,2.86,garcilu03
12,,José Suarez*,26,1,2,.333,6.02,22,3,7,0,0,1,52.1,57,38,35,7,27,0,56,4,0,1,240,70,4.54,1.605,9.8,1.2,4.6,9.6,2.07,suarejo01
13,,Roansy Contreras,24,1,4,.200,4.33,37,3,14,0,0,2,52.0,44,28,25,8,23,4,40,4,0,3,224,97,5.19,1.288,7.6,1.4,4.0,6.9,1.74,contrro01
14,,Ben Joyce,23,2,0,1.000,2.08,31,1,12,0,0,4,34.2,26,8,8,1,14,0,33,4,0,4,142,203,3.20,1.154,6.8,0.3,3.6,8.6,2.36,joycebe01
15,,Davis Daniel,27,1,4,.200,6.23,6,6,0,0,0,0,30.1,39,22,21,5,6,0,28,1,1,0,134,68,4.16,1.484,11.6,1.5,1.8,8.3,4.67,danieda01
16,,Hans Crouse,25,4,3,.571,2.84,25,0,5,0,0,0,25.1,14,10,8,2,17,1,34,2,0,1,107,149,3.76,1.224,5.0,0.7,6.0,12.1,2.00,crousha01
17,,Adam Cimber,33,3,0,1.000,7.03,28,0,2,0,0,0,24.1,20,19,19,1,14,2,19,6,0,1,107,60,4.61,1.397,7.4,0.4,5.2,7.0,1.36,cimbead01
18,,Kenny Rosenberg*,28,0,1,.000,6.00,7,1,3,0,0,0,24.0,28,17,16,5,8,1,17,0,0,2,104,71,5.46,1.500,10.5,1.9,3.0,6.4,2.13,rosenke01
19,,Brock Burke*,27,2,1,.667,3.54,21,1,5,0,0,0,20.1,16,8,8,1,7,2,25,0,0,0,82,120,2.38,1.131,7.1,0.4,3.1,11.1,3.57,burkebr01
20,,José Quijada*,28,2,2,.500,3.26,22,0,5,0,0,0,19.1,12,9,7,1,17,0,24,2,1,0,84,131,4.30,1.500,5.6,0.5,7.9,11.2,1.41,quijajo01
21,,José Marte,28,0,0,,2.33,14,0,3,0,0,0,19.1,14,6,5,1,10,0,14,1,0,2,80,183,4.10,1.241,6.5,0.5,4.7,6.5,1.40,martejo01
22,,Guillo Zuñiga,25,0,0,,5.09,15,0,6,0,0,2,17.2,16,10,10,5,8,2,12,1,0,1,76,84,7.02,1.358,8.2,2.5,4.1,6.1,1.50,zuniggu01
23,,Ryan Zeferjahn,26,0,0,,2.12,12,0,4,0,0,0,17.0,7,4,4,0,6,1,18,2,0,0,64,202,2.46,0.765,3.7,0.0,3.2,9.5,3.00,zeferry01
24,,José Cisnero,35,0,0,,6.89,15,0,3,0,0,0,15.2,18,15,12,4,8,0,17,2,0,3,74,62,6.23,1.660,10.3,2.3,4.6,9.8,2.13,cisnejo01
25,,Sam Aldegheri*,22,1,2,.333,4.85,3,3,0,0,0,0,13.0,15,12,7,2,10,0,10,2,0,2,67,89,6.40,1.923,10.4,1.4,6.9,6.9,1.00,aldegsa01
26,,Ryan Miller,28,0,1,.000,4.15,13,0,5,0,0,0,13.0,13,7,6,2,8,2,11,0,0,0,58,103,5.32,1.615,9.0,1.4,5.5,7.6,1.38,millery01
27,,Zach Plesac,29,1,1,.500,8.25,3,3,0,0,0,0,12.0,12,11,11,4,7,0,5,0,0,0,54,52,8.42,1.583,9.0,3.0,5.3,3.8,0.71,plesaza01
28,,Johnny Cueto,38,0,2,.000,7.15,2,2,0,0,0,0,11.1,14,9,9,4,3,1,6,0,0,0,50,60,7.49,1.500,11.1,3.2,2.4,4.8,2.00,cuetojo01
29,,Caden Dana,20,1,2,.333,9.58,3,3,0,0,0,0,10.1,14,12,11,5,7,0,8,1,0,0,52,45,10.23,2.032,12.2,4.4,6.1,7.0,1.14,danaca01
30,,Mike Baumann,28,0,0,,6.75,10,0,2,0,0,0,9.1,14,8,7,2,4,1,7,1,0,1,46,64,6.06,1.929,13.5,1.9,3.9,6.8,1.75,baumami01
31,,Chase Silseth,24,0,1,.000,6.75,2,2,0,0,0,0,8.0,8,7,6,3,4,0,12,0,0,0,38,65,6.54,1.500,9.0,3.4,4.5,13.5,3.00,silsech01
32,,Victor Mederos,23,0,1,.000,11.81,4,0,1,0,0,0,5.1,7,7,7,1,6,0,5,0,0,0,27,38,7.10,2.438,11.8,1.7,10.1,8.4,0.83,medervi01
33,,Amir Garrett*,32,0,0,,5.06,6,0,1,0,0,0,5.1,4,3,3,1,5,0,11,0,0,0,24,88,4.29,1.688,6.8,1.7,8.4,18.6,2.20,garream01
34,,Zac Kristofak,26,0,0,,0.00,1,0,1,0,0,0,2.0,3,2,0,0,2,0,2,0,0,0,11,,4.17,2.500,13.5,0.0,9.0,9.0,1.00,kristza01
35,,Luis Guillorme,29,0,0,,0.00,2,0,2,0,0,0,2.0,1,0,0,0,1,0,0,0,0,0,8,,4.67,1.000,4.5,0.0,4.5,0.0,0.00,guilllu01
36,,Andrew Wantz,28,0,0,,6.75,1,0,0,0,0,0,1.1,1,1,1,1,1,0,3,0,0,0,6,79,10.67,1.500,6.8,6.8,6.8,20.3,3.00,wantzan01
37,,Cole Tucker,27,0,0,,0.00,1,0,1,0,0,0,1.0,1,0,0,0,1,0,0,0,0,0,4,,6.17,2.000,9.0,0.0,9.0,0.0,0.00,tuckeco01
38,,Michael Stefanic,28,0,0,,0.00,1,0,1,0,0,0,1.0,1,0,0,0,0,0,0,1,0,0,5,,6.17,1.000,9.0,0.0,0.0,0.0,,stefami01
39,,Aaron Hicks,34,0,0,,18.00,1,0,1,0,0,0,1.0,2,2,2,1,1,0,0,0,0,0,6,32,19.17,3.000,18.0,9.0,9.0,0.0,0.00,hicksaa01
40,,Miguel Sanó,31,0,0,,0.00,1,0,1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,1,,3.17,0.000,0.0,0.0,0.0,0.0,,sanomi01
,,Team Totals,28.7,63,99,.389,4.56,162,162,162,0,0,35,1431.0,1328,797,725,202,601,34,1252,81,11,61,6146,93,4.68,1.348,8.4,1.3,3.8,7.9,2.08,-9999
,,Rank in 15 AL teams,,14,2,,14,,,,9,14,12,10,11,14,14,14,14,,15,,,,,,,,,,,,,-9999