Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbatplus,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,William Contreras,26,C,4.9,155,679,595,99,167,37,2,23,92,9,2,78,139,.281,.365,.466,.831,129,.361,129,277,19,3,0,3,5,*2D/H,AS,contrwi02
2,Rhys Hoskins,31,1B,-0.2,131,517,449,59,96,14,0,26,82,3,0,53,149,.214,.303,.419,.722,98,.314,95,188,11,7,0,6,1,3D/H,,hoskirh01
3,Brice Turang*,24,2B,4.6,155,619,559,72,142,24,4,7,57,50,6,50,105,.254,.316,.349,.665,85,.313,85,195,8,2,5,3,1,*4H/D,,turanbr02
4,Willy Adames,28,SS,3.1,161,688,610,93,153,33,0,32,112,21,4,74,173,.251,.331,.462,.794,118,.348,117,282,12,1,0,3,3,*6,,adamewi01
5,Joey Ortiz,25,3B,2.6,142,511,440,58,105,25,6,11,60,11,6,56,103,.239,.329,.398,.726,101,.317,98,175,10,6,3,6,0,*56/H4,,ortizjo06
6,Jackson Chourio,20,LF,3.8,148,573,528,80,145,29,4,21,79,22,7,39,121,.275,.327,.464,.791,117,.344,115,245,7,3,1,2,4,*79/HD,,chourja01
7,Blake Perkins#,27,CF,1.8,121,434,383,54,92,13,2,6,43,23,5,42,108,.240,.316,.332,.647,81,.301,81,127,3,3,0,6,1,*8H/D,,perkibl01
8,Sal Frelick*,24,RF,2.1,145,524,475,66,123,22,4,2,32,18,3,39,78,.259,.320,.335,.655,83,.303,84,159,8,4,2,1,0,*987H/5D,,frelisa01
9,Gary SÃ¡nchez,31,DH,0.2,89,280,245,30,54,7,1,11,37,0,0,27,76,.220,.307,.392,.699,93,.312,94,96,9,5,0,3,0,D2H/3,,sanchga02
10,Jake Bauers*,28,1B,-0.4,116,346,302,45,60,9,2,12,43,13,1,39,118,.199,.301,.361,.662,83,.300,80,109,0,5,0,0,1,3HD9/71,,bauerja01
11,Christian Yelich*,32,LF,2.2,73,315,270,44,85,12,3,11,42,21,1,40,58,.315,.406,.504,.909,151,.404,151,136,3,2,1,1,3,7D,AS,yelicch01
12,Garrett Mitchell*,25,OF,2.0,69,224,196,33,50,12,3,8,21,11,4,25,71,.255,.342,.469,.812,123,.354,123,92,1,1,2,0,0,89H/D,,mitchga01
13,Andruw Monasterio,27,IF,-0.2,59,142,125,14,26,5,0,1,16,6,2,16,40,.208,.303,.272,.575,62,.267,60,34,3,1,0,0,0,54H/3D7,,monasan01
14,Oliver Dunn*,26,3B,0.2,41,104,95,11,21,2,2,1,7,3,0,6,40,.221,.282,.316,.597,66,.269,58,30,1,2,1,0,0,5H/D34,,dunnol01
15,Eric Haase,31,C,0.4,30,69,66,10,18,1,0,5,14,0,0,3,28,.273,.304,.515,.819,122,.359,128,34,0,0,0,0,0,2/HD,,haaseer01
16,Tyler Black*,23,DH,-0.1,18,57,49,4,10,2,0,0,2,3,0,7,17,.204,.316,.245,.561,59,.280,62,12,0,1,0,0,0,D/3H,,blackty01
17,Joey Wiemer,25,OF,-0.2,19,27,26,2,4,0,0,0,0,1,1,1,9,.154,.185,.154,.339,-4,.145,-19,4,0,0,0,0,0,7/H89D,,wiemejo01
18,Owen Miller,27,IF,-0.5,14,27,27,2,5,1,0,0,3,0,0,0,8,.185,.185,.222,.407,13,.175,-5,6,1,0,0,0,0,/3H415D,,milleow01
19,Isaac Collins#,26,UT,-0.3,11,19,17,0,2,0,0,0,0,1,0,2,10,.118,.211,.118,.328,-5,.175,-14,2,0,0,0,0,0,/H74D,,colliis01
20,Vinny Capra,27,IF,-0.1,3,9,9,1,1,1,0,0,0,0,0,0,3,.111,.111,.222,.333,-11,.138,-31,2,1,0,0,0,0,/56,,capravi01
21,Brewer Hicklen,28,RF,-0.2,3,5,5,0,0,0,0,0,0,1,0,0,4,.000,.000,.000,.000,-100,.049,-130,0,0,0,0,0,0,/9H,,hicklbr01
22,Chris Roller,27,CF,0.0,1,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,.000,-136,0,0,0,0,0,0,/8H,,rollech01
23,Elvis Peguero,27,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,pegueel01
24,Joel Payamps,30,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,payamjo01
25,Hoby Milner*,33,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,milneho01
26,Mitch White,29,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/1,,whitemi03
27,Trevor Megill*,30,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,megiltr01
28,Kevin Herget*,33,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/1,,hergeke01
,Team Totals,,,25.7,162,6170,5472,777,1359,249,33,177,742,217,42,597,1459,.248,.326,.403,.729,101,.325,100,2205,97,46,15,34,19,,,-9999