Name,Age,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,RA9extras,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWLpct,162WLpct,Salary,Acquired,Name-additional
Shawn Armstrong,33,12.2,11,0,4,2.84,4.69,0.22,-0.31,0.00,103.6,4.31,2,0.2,.43,-0.1,0.2,3,.519,.501,,Traded,armstsh01
Brandon Crawford,37,1.1,1,0,4,27.00,4.70,0.43,-0.31,0.00,102.0,4.04,-3,-0.3,.00,0.1,-0.1,-3,.239,.498,$2000000,Free Agency,crawfbr01
Erick Fedde,31,55.2,10,10,23,3.72,4.26,0.22,0.20,0.00,104.7,4.43,4,0.5,,0.0,0.9,10,.546,.503,,Traded,feddeer01
Ryan Fernandez,26,66.2,62,0,30,4.05,4.53,0.21,-0.30,0.51,102.5,4.64,4,0.4,1.30,-0.1,1.0,11,.507,.503,$740000,Rule 5 Draft,fernary01
Giovanny Gallegos,32,20.2,21,0,15,6.53,4.81,0.24,-0.32,0.27,98.3,4.44,-5,-0.5,.83,0.0,-0.3,-3,.476,.497,$5750000,Traded,gallegi01
Kyle Gibson,36,169.2,30,30,91,4.83,4.53,0.23,0.21,0.00,101.8,4.59,-5,-0.5,,-0.1,0.9,11,.483,.497,$12000000,Free Agency,gibsoky01
Gordon Graceffo,24,7.2,2,1,4,4.70,3.96,0.23,-0.07,0.00,102.0,3.73,-1,-0.1,.12,0.0,0.0,0,.457,.499,,Amateur Draft,gracego01
Sonny Gray,34,166.1,28,28,79,4.27,4.43,0.20,0.20,0.00,101.8,4.52,4,0.4,,-0.1,1.8,20,.515,.503,$10000000,Free Agency,grayso01
Ryan Helsley,29,66.1,65,0,19,2.58,4.56,0.19,-0.30,0.68,100.2,4.75,16,1.7,1.99,0.6,3.0,22,.526,.510,$3800000,Amateur Draft,helslry01
John King*,29,60.0,56,0,23,3.45,4.31,0.26,-0.29,0.09,103.1,3.98,3,0.3,1.01,-0.2,0.8,9,.506,.502,$1005000,Traded,kingjo01
Andrew Kittredge,34,70.2,74,0,26,3.31,4.50,0.22,-0.30,0.24,101.7,4.29,7,0.8,1.68,0.1,1.5,14,.511,.505,$2630000,Traded,kittran01
Adam Kloffenstein,23,1.0,1,0,0,0.00,5.11,0.23,-0.34,0.00,102.0,4.63,1,0.1,2.16,0.0,0.1,1,.555,.500,,Traded,kloffad01
Kyle Leahy,27,48.2,33,0,23,4.25,4.38,0.24,-0.29,0.00,103.0,3.97,-2,-0.2,.71,-0.1,0.2,3,.495,.499,$740000,Amateur Draft,leahyky01
Matthew Liberatore*,24,86.0,60,6,44,4.60,4.40,0.23,-0.16,0.19,101.9,4.28,-3,-0.4,.90,-0.2,0.3,5,.494,.498,$747200,Traded,liberma01
Ryan Loutos,25,2.1,3,0,0,0.00,4.75,0.30,-0.32,0.00,97.8,4.04,1,0.1,.08,-0.1,0.1,1,.537,.501,$740000,Free Agency,loutory01
Lance Lynn,37,117.1,23,23,64,4.91,4.36,0.24,0.20,0.00,101.7,4.40,-7,-0.7,,-0.1,0.3,4,.469,.496,$10000000,Free Agency,lynnla01
Steven Matz*,33,44.1,12,7,28,5.68,4.71,0.25,0.12,0.00,99.8,4.57,-6,-0.6,.60,0.0,-0.2,-1,.453,.497,$12500000,Free Agency,matzst01
Michael McGreevy,23,23.0,4,3,5,1.96,4.45,0.22,0.14,0.00,101.3,4.42,6,0.7,.99,0.0,0.9,8,.680,.504,,Amateur Draft,mcgremi01
Miles Mikolas,35,171.2,32,32,106,5.56,4.77,0.26,0.21,0.00,99.4,4.70,-17,-1.7,,-0.1,-0.2,0,.447,.490,$18500000,Free Agency,mikolmi01
Riley O'Brien,29,8.0,8,0,10,11.25,4.77,0.25,-0.32,0.00,99.8,4.19,-6,-0.6,.61,0.1,-0.4,-6,.423,.496,$740450,Purchased,obrieri01
Andre Pallante,25,121.1,29,20,55,4.08,4.53,0.24,0.17,0.00,101.4,4.52,6,0.6,.77,-0.1,1.6,17,.520,.504,$756900,Amateur Draft,pallaan01
Nick Robertson,25,12.1,8,0,6,4.38,4.18,0.23,-0.28,0.00,103.6,3.80,-1,-0.1,.27,0.0,0.0,0,.489,.499,$740000,Traded,roberni01
JoJo Romero*,27,59.0,65,0,23,3.51,4.60,0.23,-0.31,0.00,100.5,4.08,4,0.4,1.66,0.0,0.9,9,.506,.502,$860000,Traded,romerjo01
Chris Roycroft,27,34.1,27,0,19,4.98,4.31,0.23,-0.29,0.33,101.2,4.17,-3,-0.3,.78,-0.1,-0.1,0,.488,.498,$740000,Free Agency,roycrch01
Zack Thompson*,26,17.0,5,2,18,9.53,5.32,0.25,0.01,0.00,96.4,4.90,-9,-0.8,.93,0.0,-0.6,-7,.343,.495,$750850,Amateur Draft,thompza02
Team Total,31.1,1444.0,670,162,719,4.48,4.51,0.23,0.01,0.09,101.4,4.45,-11,-0.6,1.25,-0.6,12.6,129,.499,.501,$85740400,,-9999