Name,Age,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWLpct,162WLpct,oWAR,dWAR,oRAR,Salary,Acquired,Pos-Summary,Name-additional
Adael Amador#,21,10,36,-4,-1,0,-1,0,-5,-0.5,1,-4,-0.4,.446,.497,-0.3,-0.1,-3,$740000,Free Agency,4,amadoad01
Jordan Beck,23,55,184,-13,1,0,1,-2,-13,-1.4,6,-7,-0.8,.475,.491,-0.9,-0.1,-8,$740000,Amateur Draft,79/8H,beckjo01
Jalen Beeks*,30,2,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$1675000,Waivers,1,beeksja02
Charlie Blackmon*,37,124,499,0,0,1,-2,-8,-9,-1.0,17,8,0.6,.492,.494,0.9,-1.1,10,$13000000,Amateur Draft,D9H/8,blackch02
Sean Bouchard,28,31,108,-3,1,0,-5,-1,-9,-0.9,4,-5,-0.6,.471,.494,-0.1,-0.6,0,$740000,Amateur Draft,97/DH,bouchse01
Kris Bryant,32,37,155,-5,-1,-1,-3,-2,-12,-1.2,5,-6,-0.7,.467,.492,-0.4,-0.5,-3,$28000000,Free Agency,D93,bryankr01
Jake Cave*,31,123,346,-9,2,1,-6,-4,-17,-1.8,12,-5,-0.7,.486,.489,0.0,-1.1,1,$1000000,Purchased,*97H/8D,caveja01
Jeff Criswell,25,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,,Traded,1,criswje01
Elias DÃ­az,33,84,327,-6,-1,-2,6,4,1,0.1,11,12,1.2,.502,.501,0.6,1.0,6,$6000000,Free Agency,2D/H,diazel01
Brenton Doyle,26,149,603,2,4,-1,11,4,20,2.1,21,41,4.0,.514,.513,2.9,1.6,30,$742000,Amateur Draft,*8/DH,doylebr02
Kyle Freeland*,31,2,0,0,0,0,0,0,0,0.0,0,0,0.0,.510,.500,0.0,0.0,0,$15000000,Amateur Draft,1/H,freelky01
Hunter Goodman,24,70,224,-10,-1,0,-3,-1,-15,-1.6,8,-7,-0.8,.478,.490,-0.5,-0.4,-4,$740000,Amateur Draft,92DH/73,goodmhu01
Seth Halvorsen,24,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,,Amateur Draft,1,halvose01
Sam Hilliard*,30,58,158,2,1,0,-2,-1,-1,-0.1,5,5,0.5,.499,.500,0.7,-0.4,7,,Waivers,789/HD,hillisa01
Greg Jones#,26,6,6,1,0,0,0,0,1,0.1,0,1,0.1,.509,.500,0.1,0.0,1,$740000,Traded,/9H,jonesgr02
Nolan Jones*,26,79,297,-9,0,0,-4,-3,-16,-1.7,10,-6,-0.7,.479,.490,-0.3,-0.7,-2,$740000,Traded,7/DH,jonesno01
Tyler Kinley,33,2,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$1300000,Waivers,1,kinlety01
Matt Koch*,33,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,,Free Agency,/1,kochma01
Peter Lambert,27,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$1250000,Amateur Draft,1,lambepe01
Justin Lawrence,29,2,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$745000,Amateur Draft,1,lawreju01
Ryan McMahon*,29,153,645,-7,-3,0,10,4,4,0.4,22,26,2.5,.503,.503,1.5,1.5,16,$12000000,Amateur Draft,*5/DH,mcmahry01
Nick Mears,27,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$750000,Waivers,1,mearsni01
Elehuris Montero,25,67,247,-13,-2,-1,-3,-4,-23,-2.5,8,-15,-1.7,.463,.485,-1.4,-0.7,-12,$745000,Traded,3D/H,monteel01
Brendan Rodgers,27,135,539,-5,0,-1,-4,4,-6,-0.6,18,12,1.1,.495,.496,1.5,0.0,16,$3200000,Amateur Draft,*4/DH,rodgebr02
Drew Romo#,22,16,53,-6,0,0,2,1,-3,-0.3,2,-1,-0.2,.480,.498,-0.4,0.3,-3,,Amateur Draft,2/DH,romodr01
Aaron Schunk,26,39,98,-5,0,0,3,1,-1,-0.1,3,3,0.2,.498,.499,-0.1,0.4,0,,Amateur Draft,45/H6D,schunaa01
Jacob Stallings,34,82,281,6,-1,-1,-1,5,8,0.8,10,18,1.8,.510,.505,1.9,0.4,19,$1500000,Free Agency,2/HD,stallja01
Michael Toglia#,25,116,458,1,2,-1,11,-6,7,0.7,16,23,2.2,.506,.505,1.1,0.5,12,$742000,Amateur Draft,39/7,toglimi01
Ezequiel Tovar,22,157,695,-1,-1,-2,10,10,16,1.6,23,38,3.8,.510,.510,2.7,2.0,28,$1714286,Free Agency,*6,tovarez01
Alan Trejo,28,28,67,-10,0,0,0,1,-9,-1.0,2,-7,-0.8,.466,.494,-0.8,0.1,-7,$745000,Amateur Draft,4/5H6D,trejoal01
Victor Vodnik,24,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$742000,Traded,1,vodnivi01
Team Total,27.9,1633,6026,-93,-1,-8,20,0,-82,-8.7,205,123,10.7,.495,.499,8.6,2.1,103,$95290286,,,-9999